Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
BIOL 10 (Section 01),22045,In Person,The Living World,GE: 5B,3.0,LEC,TR,01:30PM-02:45PM,Allison Harness,DH135,01/23/25-05/12/25,35,2025,Spring
BIOL 10 (Section 02),26892,In Person,The Living World,GE: 5B,3.0,LEC,TR,03:00PM-04:15PM,Allison Harness,DH135,01/23/25-05/12/25,49,2025,Spring
BIOL 10 (Section 81),23567,Fully Online,The Living World,GE: 5B,3.0,LEC,TBA,TBA,Allison Harness,ONLINE,01/23/25-05/12/25,6,2025,Spring
BIOL 10 (Section 99),21337,Fully Online,The Living World,GE: 5B,3.0,LEC,TBA,TBA,Mary Poffenroth,ONLINE,01/23/25-05/12/25,5,2025,Spring
CHEM 1A (Section 01),24936,In Person,General Chemistry,GE: 5A+5C,5.0,LEC,MWF,09:30AM-10:20AM,Melody Esfandiari,SCI142,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 02),20511,In Person,General Chemistry,GE: 5A+5C,5.0,LEC,MWF,10:30AM-11:20AM,Melody Esfandiari,SCI142,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 03),22290,In Person,General Chemistry,GE: 5A+5C,5.0,LEC,MWF,01:30PM-02:20PM,John Diniz,MD101,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 04),20832,In Person,General Chemistry,,0,SEM,F,07:30AM-08:20AM,Niloofar Salehi,SCI142,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 05),20846,In Person,General Chemistry,,0,SEM,F,08:30AM-09:20AM,Niloofar Salehi,SCI142,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 06),21051,In Person,General Chemistry,,0,SEM,F,09:30AM-10:20AM,Niloofar Salehi,SCI164,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 07),20090,In Person,General Chemistry,,0,SEM,F,10:30AM-11:20AM,Elizabeth Migicovsky,YUH124,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 08),21209,In Person,General Chemistry,,0,SEM,F,11:30AM-12:20PM,Elizabeth Migicovsky,YUH124,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 10),20091,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Shreeyukta Singh,DH412,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 11),20459,In Person,General Chemistry,,0,LAB,T,07:30AM-10:20AM,Emiliano Lopez Ruiz,DH506,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 12),20092,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Xiao Wang,DH412,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 13),20561,In Person,General Chemistry,,0,LAB,T,10:30AM-01:20PM,Elizabeth Migicovsky,DH506,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 14),20093,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Xiao Wang,DH412,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 15),20094,In Person,General Chemistry,,0,LAB,T,02:30PM-05:20PM,Minh Hoang Huynh,DH506,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 16),20095,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Niloofar Salehi,DH412,01/23/25-05/12/25,3,2025,Spring
CHEM 1A (Section 17),21966,In Person,General Chemistry,,0,LAB,W,07:30AM-10:20AM,Emiliano Lopez Ruiz,DH506,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 18),20096,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Brandon Barrios,DH412,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 19),20097,In Person,General Chemistry,,0,LAB,W,11:30AM-02:20PM,Brooke Bellinghausen,DH506,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 20),20098,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,Minh Hoang Huynh,DH412,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 21),20524,In Person,General Chemistry,,0,LAB,W,02:30PM-05:20PM,John Diniz,DH506,01/23/25-05/12/25,0,2025,Spring
CHEM 1A (Section 22),20525,In Person,General Chemistry,,0,LAB,R,07:30AM-10:20AM,Brandon Barrios,DH412,01/23/25-05/12/25,0,2025,Spring
